year,sex,level_of_school,academic_qualification,number_of_vice_principals
2008,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2008,MF,PRIMARY,PASS DEGREE,92
2008,F,PRIMARY,PASS DEGREE,72
2008,MF,SECONDARY,PASS DEGREE,73
2008,F,SECONDARY,PASS DEGREE,46
2008,MF,PRE-UNIVERSITY,PASS DEGREE,3
2008,F,PRE-UNIVERSITY,PASS DEGREE,3
2008,MF,PRIMARY,HONOURS DEGREE,28
2008,F,PRIMARY,HONOURS DEGREE,18
2008,MF,SECONDARY,HONOURS DEGREE,70
2008,F,SECONDARY,HONOURS DEGREE,43
2008,MF,PRE-UNIVERSITY,HONOURS DEGREE,14
2008,F,PRE-UNIVERSITY,HONOURS DEGREE,7
2008,MF,PRIMARY,MASTERS DEGREE,60
2008,F,PRIMARY,MASTERS DEGREE,44
2008,MF,SECONDARY,MASTERS DEGREE,72
2008,F,SECONDARY,MASTERS DEGREE,38
2008,MF,PRE-UNIVERSITY,MASTERS DEGREE,14
2008,F,PRE-UNIVERSITY,MASTERS DEGREE,7
2008,MF,PRIMARY,PHD,0
2008,F,PRIMARY,PHD,0
2008,MF,SECONDARY,PHD,0
2008,F,SECONDARY,PHD,0
2008,MF,PRE-UNIVERSITY,PHD,0
2008,F,PRE-UNIVERSITY,PHD,0
2009,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,19
2009,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,11
2009,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,2
2009,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2009,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2009,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2009,MF,PRIMARY,PASS DEGREE,88
2009,F,PRIMARY,PASS DEGREE,67
2009,MF,SECONDARY,PASS DEGREE,75
2009,F,SECONDARY,PASS DEGREE,49
2009,MF,PRE-UNIVERSITY,PASS DEGREE,3
2009,F,PRE-UNIVERSITY,PASS DEGREE,3
2009,MF,PRIMARY,HONOURS DEGREE,34
2009,F,PRIMARY,HONOURS DEGREE,23
2009,MF,SECONDARY,HONOURS DEGREE,81
2009,F,SECONDARY,HONOURS DEGREE,49
2009,MF,PRE-UNIVERSITY,HONOURS DEGREE,8
2009,F,PRE-UNIVERSITY,HONOURS DEGREE,4
2009,MF,PRIMARY,MASTERS DEGREE,66
2009,F,PRIMARY,MASTERS DEGREE,50
2009,MF,SECONDARY,MASTERS DEGREE,77
2009,F,SECONDARY,MASTERS DEGREE,38
