year,sex,level_of_school,age,no_of_vice_principals
2012,F,PRE-UNIVERSITY,45 - 49,2
2012,MF,PRIMARY,50 - 54,39
2012,F,PRIMARY,50 - 54,30
2012,MF,SECONDARY,50 - 54,63
2012,F,SECONDARY,50 - 54,42
2012,MF,PRE-UNIVERSITY,50 - 54,4
2012,F,PRE-UNIVERSITY,50 - 54,3
2013,MF,PRIMARY,30 - 34,6
2013,F,PRIMARY,30 - 34,4
2013,MF,SECONDARY,30 - 34,16
2013,F,SECONDARY,30 - 34,10
2013,MF,PRE-UNIVERSITY,30 - 34,7
2013,F,PRE-UNIVERSITY,30 - 34,4
2013,MF,PRIMARY,35 - 39,56
2013,F,PRIMARY,35 - 39,37
2013,MF,SECONDARY,35 - 39,70
2013,F,SECONDARY,35 - 39,37
2013,MF,PRE-UNIVERSITY,35 - 39,16
2013,F,PRE-UNIVERSITY,35 - 39,4
2013,MF,PRIMARY,40 - 44,94
2013,F,PRIMARY,40 - 44,53
2013,MF,SECONDARY,40 - 44,94
2013,F,SECONDARY,40 - 44,42
2013,MF,PRE-UNIVERSITY,40 - 44,9
2013,F,PRE-UNIVERSITY,40 - 44,4
2013,MF,PRIMARY,45 - 49,61
2013,F,PRIMARY,45 - 49,43
2013,MF,SECONDARY,45 - 49,45
2013,F,SECONDARY,45 - 49,21
2013,MF,PRE-UNIVERSITY,45 - 49,2
2013,F,PRE-UNIVERSITY,45 - 49,1
2013,MF,PRIMARY,50 - 54,44
2013,F,PRIMARY,50 - 54,35
2013,MF,SECONDARY,50 - 54,64
2013,F,SECONDARY,50 - 54,44
2013,MF,PRE-UNIVERSITY,50 - 54,9
2013,F,PRE-UNIVERSITY,50 - 54,5
2014,MF,PRIMARY,30 - 34,4
2014,F,PRIMARY,30 - 34,2
2014,MF,SECONDARY,30 - 34,8
2014,F,SECONDARY,30 - 34,5
2014,MF,PRE-UNIVERSITY,30 - 34,5
2014,F,PRE-UNIVERSITY,30 - 34,3
2014,MF,PRIMARY,35 - 39,60
2014,F,PRIMARY,35 - 39,44
2014,MF,SECONDARY,35 - 39,62
2014,F,SECONDARY,35 - 39,31
2014,MF,PRE-UNIVERSITY,35 - 39,17
2014,F,PRE-UNIVERSITY,35 - 39,2
2014,MF,PRIMARY,40 - 44,96
2014,F,PRIMARY,40 - 44,56
2014,MF,SECONDARY,40 - 44,99
2014,F,SECONDARY,40 - 44,43
2014,MF,PRE-UNIVERSITY,40 - 44,9
2014,F,PRE-UNIVERSITY,40 - 44,3
2014,MF,PRIMARY,45 - 49,70
2014,F,PRIMARY,45 - 49,49
2014,MF,SECONDARY,45 - 49,50
2014,F,SECONDARY,45 - 49,23
2014,MF,PRE-UNIVERSITY,45 - 49,3
2014,F,PRE-UNIVERSITY,45 - 49,1
2014,MF,PRIMARY,50 - 54,48
2014,F,PRIMARY,50 - 54,38
2014,MF,SECONDARY,50 - 54,57
2014,F,SECONDARY,50 - 54,41
2014,MF,PRE-UNIVERSITY,50 - 54,8
2014,F,PRE-UNIVERSITY,50 - 54,5
2015,MF,PRIMARY,30 - 34,6
2015,F,PRIMARY,30 - 34,5
2015,MF,SECONDARY,30 - 34,8
2015,F,SECONDARY,30 - 34,6
2015,MF,PRE-UNIVERSITY,30 - 34,2
2015,F,PRE-UNIVERSITY,30 - 34,2
