year,sex,level_of_school,length_of_service,no_of_vice_principals
2003,F,PRE-UNIVERSITY,25 - 29 YEARS,1
2003,MF,PRIMARY,30 YEARS & ABOVE,37
2003,F,PRIMARY,30 YEARS & ABOVE,26
2003,MF,SECONDARY,30 YEARS & ABOVE,14
2003,F,SECONDARY,30 YEARS & ABOVE,9
2003,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2003,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2004,MF,PRIMARY,0 - 9 YEARS,9
2004,F,PRIMARY,0 - 9 YEARS,2
2004,MF,SECONDARY,0 - 9 YEARS,28
2004,F,SECONDARY,0 - 9 YEARS,3
2004,MF,PRE-UNIVERSITY,0 - 9 YEARS,6
2004,F,PRE-UNIVERSITY,0 - 9 YEARS,0
2004,MF,PRIMARY,10 - 14 YEARS,38
2004,F,PRIMARY,10 - 14 YEARS,27
2004,MF,SECONDARY,10 - 14 YEARS,37
2004,F,SECONDARY,10 - 14 YEARS,26
2004,MF,PRE-UNIVERSITY,10 - 14 YEARS,8
2004,F,PRE-UNIVERSITY,10 - 14 YEARS,6
2004,MF,PRIMARY,15 - 19 YEARS,27
2004,F,PRIMARY,15 - 19 YEARS,21
2004,MF,SECONDARY,15 - 19 YEARS,34
2004,F,SECONDARY,15 - 19 YEARS,23
2004,MF,PRE-UNIVERSITY,15 - 19 YEARS,7
2004,F,PRE-UNIVERSITY,15 - 19 YEARS,5
2004,MF,PRIMARY,20 - 24 YEARS,51
2004,F,PRIMARY,20 - 24 YEARS,41
2004,MF,SECONDARY,20 - 24 YEARS,36
2004,F,SECONDARY,20 - 24 YEARS,23
2004,MF,PRE-UNIVERSITY,20 - 24 YEARS,3
2004,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2004,MF,PRIMARY,25 - 29 YEARS,8
2004,F,PRIMARY,25 - 29 YEARS,8
2004,MF,SECONDARY,25 - 29 YEARS,21
2004,F,SECONDARY,25 - 29 YEARS,18
2004,MF,PRE-UNIVERSITY,25 - 29 YEARS,2
2004,F,PRE-UNIVERSITY,25 - 29 YEARS,2
2004,MF,PRIMARY,30 YEARS & ABOVE,27
2004,F,PRIMARY,30 YEARS & ABOVE,21
2004,MF,SECONDARY,30 YEARS & ABOVE,13
2004,F,SECONDARY,30 YEARS & ABOVE,9
2004,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,1
2004,F,PRE-UNIVERSITY,30 YEARS & ABOVE,1
2005,MF,PRIMARY,0 - 9 YEARS,14
2005,F,PRIMARY,0 - 9 YEARS,3
2005,MF,SECONDARY,0 - 9 YEARS,34
2005,F,SECONDARY,0 - 9 YEARS,6
2005,MF,PRE-UNIVERSITY,0 - 9 YEARS,3
2005,F,PRE-UNIVERSITY,0 - 9 YEARS,0
2005,MF,PRIMARY,10 - 14 YEARS,45
2005,F,PRIMARY,10 - 14 YEARS,34
2005,MF,SECONDARY,10 - 14 YEARS,41
2005,F,SECONDARY,10 - 14 YEARS,22
2005,MF,PRE-UNIVERSITY,10 - 14 YEARS,9
2005,F,PRE-UNIVERSITY,10 - 14 YEARS,5
2005,MF,PRIMARY,15 - 19 YEARS,30
2005,F,PRIMARY,15 - 19 YEARS,26
2005,MF,SECONDARY,15 - 19 YEARS,36
2005,F,SECONDARY,15 - 19 YEARS,28
2005,MF,PRE-UNIVERSITY,15 - 19 YEARS,6
2005,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2005,MF,PRIMARY,20 - 24 YEARS,51
2005,F,PRIMARY,20 - 24 YEARS,39
2005,MF,SECONDARY,20 - 24 YEARS,40
2005,F,SECONDARY,20 - 24 YEARS,28
2005,MF,PRE-UNIVERSITY,20 - 24 YEARS,5
2005,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2005,MF,PRIMARY,25 - 29 YEARS,12
2005,F,PRIMARY,25 - 29 YEARS,11
2005,MF,SECONDARY,25 - 29 YEARS,25
2005,F,SECONDARY,25 - 29 YEARS,20
2005,MF,PRE-UNIVERSITY,25 - 29 YEARS,2
2005,F,PRE-UNIVERSITY,25 - 29 YEARS,2
2005,MF,PRIMARY,30 YEARS & ABOVE,22
2005,F,PRIMARY,30 YEARS & ABOVE,18
2005,MF,SECONDARY,30 YEARS & ABOVE,14
2005,F,SECONDARY,30 YEARS & ABOVE,9
2005,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,0
2005,F,PRE-UNIVERSITY,30 YEARS & ABOVE,0
2006,MF,PRIMARY,0 - 9 YEARS,16
2006,F,PRIMARY,0 - 9 YEARS,11
2006,MF,SECONDARY,0 - 9 YEARS,33
2006,F,SECONDARY,0 - 9 YEARS,6
2006,MF,PRE-UNIVERSITY,0 - 9 YEARS,5
2006,F,PRE-UNIVERSITY,0 - 9 YEARS,1
2006,MF,PRIMARY,10 - 14 YEARS,54
2006,F,PRIMARY,10 - 14 YEARS,32
2006,MF,SECONDARY,10 - 14 YEARS,52
2006,F,SECONDARY,10 - 14 YEARS,21
2006,MF,PRE-UNIVERSITY,10 - 14 YEARS,8
2006,F,PRE-UNIVERSITY,10 - 14 YEARS,4
2006,MF,PRIMARY,15 - 19 YEARS,30
2006,F,PRIMARY,15 - 19 YEARS,25
2006,MF,SECONDARY,15 - 19 YEARS,42
2006,F,SECONDARY,15 - 19 YEARS,33
2006,MF,PRE-UNIVERSITY,15 - 19 YEARS,5
2006,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2006,MF,PRIMARY,20 - 24 YEARS,47
2006,F,PRIMARY,20 - 24 YEARS,36
2006,MF,SECONDARY,20 - 24 YEARS,46
2006,F,SECONDARY,20 - 24 YEARS,30
2006,MF,PRE-UNIVERSITY,20 - 24 YEARS,5
2006,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2006,MF,PRIMARY,25 - 29 YEARS,26
2006,F,PRIMARY,25 - 29 YEARS,23
2006,MF,SECONDARY,25 - 29 YEARS,32
2006,F,SECONDARY,25 - 29 YEARS,25
2006,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2006,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2006,MF,PRIMARY,30 YEARS & ABOVE,19
2006,F,PRIMARY,30 YEARS & ABOVE,16
2006,MF,SECONDARY,30 YEARS & ABOVE,13
2006,F,SECONDARY,30 YEARS & ABOVE,8
2006,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2006,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2007,MF,PRIMARY,0 - 9 YEARS,18
2007,F,PRIMARY,0 - 9 YEARS,10
2007,MF,SECONDARY,0 - 9 YEARS,26
2007,F,SECONDARY,0 - 9 YEARS,6
2007,MF,PRE-UNIVERSITY,0 - 9 YEARS,9
2007,F,PRE-UNIVERSITY,0 - 9 YEARS,1
2007,MF,PRIMARY,10 - 14 YEARS,45
2007,F,PRIMARY,10 - 14 YEARS,27
2007,MF,SECONDARY,10 - 14 YEARS,55
2007,F,SECONDARY,10 - 14 YEARS,19
2007,MF,PRE-UNIVERSITY,10 - 14 YEARS,8
2007,F,PRE-UNIVERSITY,10 - 14 YEARS,5
2007,MF,PRIMARY,15 - 19 YEARS,40
2007,F,PRIMARY,15 - 19 YEARS,33
2007,MF,SECONDARY,15 - 19 YEARS,40
2007,F,SECONDARY,15 - 19 YEARS,28
2007,MF,PRE-UNIVERSITY,15 - 19 YEARS,5
2007,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2007,MF,PRIMARY,20 - 24 YEARS,44
2007,F,PRIMARY,20 - 24 YEARS,32
2007,MF,SECONDARY,20 - 24 YEARS,44
2007,F,SECONDARY,20 - 24 YEARS,32
2007,MF,PRE-UNIVERSITY,20 - 24 YEARS,6
2007,F,PRE-UNIVERSITY,20 - 24 YEARS,4
2007,MF,PRIMARY,25 - 29 YEARS,33
2007,F,PRIMARY,25 - 29 YEARS,27
2007,MF,SECONDARY,25 - 29 YEARS,35
2007,F,SECONDARY,25 - 29 YEARS,27
2007,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2007,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2007,MF,PRIMARY,30 YEARS & ABOVE,16
2007,F,PRIMARY,30 YEARS & ABOVE,16
2007,MF,SECONDARY,30 YEARS & ABOVE,17
2007,F,SECONDARY,30 YEARS & ABOVE,12
2007,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2007,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2008,MF,PRIMARY,0 - 9 YEARS,14
2008,F,PRIMARY,0 - 9 YEARS,6
2008,MF,SECONDARY,0 - 9 YEARS,23
2008,F,SECONDARY,0 - 9 YEARS,8
2008,MF,PRE-UNIVERSITY,0 - 9 YEARS,4
2008,F,PRE-UNIVERSITY,0 - 9 YEARS,0
2008,MF,PRIMARY,10 - 14 YEARS,42
2008,F,PRIMARY,10 - 14 YEARS,24
2008,MF,SECONDARY,10 - 14 YEARS,58
2008,F,SECONDARY,10 - 14 YEARS,26
2008,MF,PRE-UNIVERSITY,10 - 14 YEARS,12
2008,F,PRE-UNIVERSITY,10 - 14 YEARS,7
2008,MF,PRIMARY,15 - 19 YEARS,46
2008,F,PRIMARY,15 - 19 YEARS,39
2008,MF,SECONDARY,15 - 19 YEARS,33
2008,F,SECONDARY,15 - 19 YEARS,16
2008,MF,PRE-UNIVERSITY,15 - 19 YEARS,5
2008,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2008,MF,PRIMARY,20 - 24 YEARS,41
2008,F,PRIMARY,20 - 24 YEARS,31
2008,MF,SECONDARY,20 - 24 YEARS,47
2008,F,SECONDARY,20 - 24 YEARS,36
2008,MF,PRE-UNIVERSITY,20 - 24 YEARS,8
2008,F,PRE-UNIVERSITY,20 - 24 YEARS,5
2008,MF,PRIMARY,25 - 29 YEARS,43
2008,F,PRIMARY,25 - 29 YEARS,34
2008,MF,SECONDARY,25 - 29 YEARS,37
2008,F,SECONDARY,25 - 29 YEARS,28
2008,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2008,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2008,MF,PRIMARY,30 YEARS & ABOVE,12
2008,F,PRIMARY,30 YEARS & ABOVE,12
2008,MF,SECONDARY,30 YEARS & ABOVE,19
2008,F,SECONDARY,30 YEARS & ABOVE,14
2008,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2008,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2009,MF,PRIMARY,0 - 9 YEARS,9
2009,F,PRIMARY,0 - 9 YEARS,2
2009,MF,SECONDARY,0 - 9 YEARS,24
2009,F,SECONDARY,0 - 9 YEARS,9
2009,MF,PRE-UNIVERSITY,0 - 9 YEARS,6
2009,F,PRE-UNIVERSITY,0 - 9 YEARS,2
2009,MF,PRIMARY,10 - 14 YEARS,54
2009,F,PRIMARY,10 - 14 YEARS,34
2009,MF,SECONDARY,10 - 14 YEARS,61
2009,F,SECONDARY,10 - 14 YEARS,25
2009,MF,PRE-UNIVERSITY,10 - 14 YEARS,7
2009,F,PRE-UNIVERSITY,10 - 14 YEARS,4
2009,MF,PRIMARY,15 - 19 YEARS,55
2009,F,PRIMARY,15 - 19 YEARS,42
2009,MF,SECONDARY,15 - 19 YEARS,39
2009,F,SECONDARY,15 - 19 YEARS,20
2009,MF,PRE-UNIVERSITY,15 - 19 YEARS,2
2009,F,PRE-UNIVERSITY,15 - 19 YEARS,2
2009,MF,PRIMARY,20 - 24 YEARS,30
2009,F,PRIMARY,20 - 24 YEARS,24
2009,MF,SECONDARY,20 - 24 YEARS,42
2009,F,SECONDARY,20 - 24 YEARS,32
2009,MF,PRE-UNIVERSITY,20 - 24 YEARS,9
2009,F,PRE-UNIVERSITY,20 - 24 YEARS,5
2009,MF,PRIMARY,25 - 29 YEARS,50
2009,F,PRIMARY,25 - 29 YEARS,40
2009,MF,SECONDARY,25 - 29 YEARS,47
2009,F,SECONDARY,25 - 29 YEARS,33
2009,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2009,F,PRE-UNIVERSITY,25 - 29 YEARS,0
