month,level_1,level_2,total_loans
2006-04,Consumer,Professional and Private Individuals - Car Loans,12470
2006-04,Consumer,Professional and Private Individuals - Credit Cards,3654.2
2006-04,Consumer,Professional and Private Individuals - Share Financing,512.9
2006-04,Consumer,Professional and Private Individuals - Others,28926.8
2006-05,Business,"Agriculture, Mining and Quarrying",3470.4
2006-05,Business,Manufacturing,32855.7
2006-05,Business,Building and Construction,32833.6
2006-05,Business,General Commerce,33751.7
2006-05,Business,"Transport, Storage and Communication",32750.7
2006-05,Business,Business Services,4672.4
2006-05,Business,Financial Institutions,94389.1
2006-05,Business,Professional and Private Individuals - Business Purposes,3518.1
2006-05,Business,Others,18462.5
2006-05,Consumer,Housing and Bridging Loans,63528
2006-05,Consumer,Professional and Private Individuals - Car Loans,12467.9
2006-05,Consumer,Professional and Private Individuals - Credit Cards,3710.1
2006-05,Consumer,Professional and Private Individuals - Share Financing,512.1
2006-05,Consumer,Professional and Private Individuals - Others,29694.9
2006-06,Business,"Agriculture, Mining and Quarrying",3125.9
2006-06,Business,Manufacturing,33480.2
2006-06,Business,Building and Construction,32839.2
2006-06,Business,General Commerce,34342.8
2006-06,Business,"Transport, Storage and Communication",32996.4
2006-06,Business,Business Services,4703.3
2006-06,Business,Financial Institutions,95588.4
2006-06,Business,Professional and Private Individuals - Business Purposes,3478.9
2006-06,Business,Others,19417.2
2006-06,Consumer,Housing and Bridging Loans,63696.3
2006-06,Consumer,Professional and Private Individuals - Car Loans,12475.3
2006-06,Consumer,Professional and Private Individuals - Credit Cards,3786.5
2006-06,Consumer,Professional and Private Individuals - Share Financing,490.7
2006-06,Consumer,Professional and Private Individuals - Others,29436.7
2006-07,Business,"Agriculture, Mining and Quarrying",3316.8
2006-07,Business,Manufacturing,33482.1
2006-07,Business,Building and Construction,33331.8
2006-07,Business,General Commerce,34759.6
2006-07,Business,"Transport, Storage and Communication",33573.3
2006-07,Business,Business Services,5448.9
2006-07,Business,Financial Institutions,96068.7
2006-07,Business,Professional and Private Individuals - Business Purposes,3411.7
2006-07,Business,Others,19604.1
2006-07,Consumer,Housing and Bridging Loans,63998.9
2006-07,Consumer,Professional and Private Individuals - Car Loans,12477.2
2006-07,Consumer,Professional and Private Individuals - Credit Cards,3737.4
2006-07,Consumer,Professional and Private Individuals - Share Financing,744
2006-07,Consumer,Professional and Private Individuals - Others,28837.9
2006-08,Business,"Agriculture, Mining and Quarrying",3215.4
2006-08,Business,Manufacturing,34098.4
2006-08,Business,Building and Construction,34502.5
2006-08,Business,General Commerce,34643.3
2006-08,Business,"Transport, Storage and Communication",34210.4
2006-08,Business,Business Services,5913.6
2006-08,Business,Financial Institutions,93090.4
2006-08,Business,Professional and Private Individuals - Business Purposes,3321.7
2006-08,Business,Others,20352.6
2006-08,Consumer,Housing and Bridging Loans,64134.2
2006-08,Consumer,Professional and Private Individuals - Car Loans,12440.5
2006-08,Consumer,Professional and Private Individuals - Credit Cards,3739.7
2006-08,Consumer,Professional and Private Individuals - Share Financing,731.8
2006-08,Consumer,Professional and Private Individuals - Others,28787.1
2006-09,Business,"Agriculture, Mining and Quarrying",3347.9
2006-09,Business,Manufacturing,34919.3
2006-09,Business,Building and Construction,33691.4
2006-09,Business,General Commerce,35399.5
2006-09,Business,"Transport, Storage and Communication",35823.8
2006-09,Business,Business Services,6294
2006-09,Business,Financial Institutions,93186.3
2006-09,Business,Professional and Private Individuals - Business Purposes,3279.5
2006-09,Business,Others,21176.1
2006-09,Consumer,Housing and Bridging Loans,64464.8
2006-09,Consumer,Professional and Private Individuals - Car Loans,12407.2
2006-09,Consumer,Professional and Private Individuals - Credit Cards,3836.1
2006-09,Consumer,Professional and Private Individuals - Share Financing,732.5
2006-09,Consumer,Professional and Private Individuals - Others,28735.2
2006-10,Business,"Agriculture, Mining and Quarrying",3804
2006-10,Business,Manufacturing,36625.7
2006-10,Business,Building and Construction,34171.6
2006-10,Business,General Commerce,35060.1
2006-10,Business,"Transport, Storage and Communication",35297.9
2006-10,Business,Business Services,6115.3
2006-10,Business,Financial Institutions,95623.4
2006-10,Business,Professional and Private Individuals - Business Purposes,3162.1
2006-10,Business,Others,20629
2006-10,Consumer,Housing and Bridging Loans,64692.2
2006-10,Consumer,Professional and Private Individuals - Car Loans,12382.2
2006-10,Consumer,Professional and Private Individuals - Credit Cards,3909.3
2006-10,Consumer,Professional and Private Individuals - Share Financing,829.4
2006-10,Consumer,Professional and Private Individuals - Others,28065
2006-11,Business,"Agriculture, Mining and Quarrying",3881.3
2006-11,Business,Manufacturing,36341
2006-11,Business,Building and Construction,34049.3
2006-11,Business,General Commerce,35147.5
2006-11,Business,"Transport, Storage and Communication",36011.9
2006-11,Business,Business Services,6378.7
2006-11,Business,Financial Institutions,98685.6
2006-11,Business,Professional and Private Individuals - Business Purposes,3183.1
2006-11,Business,Others,22937.3
2006-11,Consumer,Housing and Bridging Loans,64999.1
2006-11,Consumer,Professional and Private Individuals - Car Loans,12348
2006-11,Consumer,Professional and Private Individuals - Credit Cards,4017.1
2006-11,Consumer,Professional and Private Individuals - Share Financing,874.4
2006-11,Consumer,Professional and Private Individuals - Others,28768.5
2006-12,Business,"Agriculture, Mining and Quarrying",3911.9
2006-12,Business,Manufacturing,36563.5
2006-12,Business,Building and Construction,33565.7
2006-12,Business,General Commerce,35740.8
2006-12,Business,"Transport, Storage and Communication",35595.2
2006-12,Business,Business Services,6944.7
2006-12,Business,Financial Institutions,90014.4
2006-12,Business,Professional and Private Individuals - Business Purposes,3160.2
2006-12,Business,Others,23665.8
2006-12,Consumer,Housing and Bridging Loans,65259.6
2006-12,Consumer,Professional and Private Individuals - Car Loans,12377.9
2006-12,Consumer,Professional and Private Individuals - Credit Cards,4175.8
2006-12,Consumer,Professional and Private Individuals - Share Financing,913.4
2006-12,Consumer,Professional and Private Individuals - Others,28332.1
2007-01,Business,"Agriculture, Mining and Quarrying",4218.5
2007-01,Business,Manufacturing,37418.6
2007-01,Business,Building and Construction,34022.9
2007-01,Business,General Commerce,35547.9
2007-01,Business,"Transport, Storage and Communication",36124.1
2007-01,Business,Business Services,6973.2
2007-01,Business,Financial Institutions,91947.1
2007-01,Business,Professional and Private Individuals - Business Purposes,3125.6
2007-01,Business,Others,23184.6
2007-01,Consumer,Housing and Bridging Loans,65638.7
2007-01,Consumer,Professional and Private Individuals - Car Loans,12391.5
2007-01,Consumer,Professional and Private Individuals - Credit Cards,4044.6
2007-01,Consumer,Professional and Private Individuals - Share Financing,1004.6
2007-01,Consumer,Professional and Private Individuals - Others,28168.4
2007-02,Business,"Agriculture, Mining and Quarrying",4488.5
2007-02,Business,Manufacturing,38145
2007-02,Business,Building and Construction,34771.1
2007-02,Business,General Commerce,35796.4
2007-02,Business,"Transport, Storage and Communication",36914.9
2007-02,Business,Business Services,7214
2007-02,Business,Financial Institutions,93662.5
2007-02,Business,Professional and Private Individuals - Business Purposes,3120.2
2007-02,Business,Others,24408
2007-02,Consumer,Housing and Bridging Loans,65814.3
2007-02,Consumer,Professional and Private Individuals - Car Loans,12429.4
2007-02,Consumer,Professional and Private Individuals - Credit Cards,4025.4
2007-02,Consumer,Professional and Private Individuals - Share Financing,1021.2
2007-02,Consumer,Professional and Private Individuals - Others,28662.3
2007-03,Business,"Agriculture, Mining and Quarrying",4135.3
2007-03,Business,Manufacturing,39544.7
2007-03,Business,Building and Construction,35666.5
2007-03,Business,General Commerce,36014.9
2007-03,Business,"Transport, Storage and Communication",37619.1
2007-03,Business,Business Services,7073
2007-03,Business,Financial Institutions,97211.9
2007-03,Business,Professional and Private Individuals - Business Purposes,3120.7
2007-03,Business,Others,25107.7
2007-03,Consumer,Housing and Bridging Loans,66318.6
2007-03,Consumer,Professional and Private Individuals - Car Loans,12536.5
2007-03,Consumer,Professional and Private Individuals - Credit Cards,4012.1
2007-03,Consumer,Professional and Private Individuals - Share Financing,1034.7
2007-03,Consumer,Professional and Private Individuals - Others,29077.1
2007-04,Business,"Agriculture, Mining and Quarrying",4319.4
2007-04,Business,Manufacturing,40888.5
2007-04,Business,Building and Construction,36865.1
2007-04,Business,General Commerce,37326.7
2007-04,Business,"Transport, Storage and Communication",38345.9
2007-04,Business,Business Services,7288.5
2007-04,Business,Financial Institutions,95144.6
2007-04,Business,Professional and Private Individuals - Business Purposes,3089.3
2007-04,Business,Others,25919.8
2007-04,Consumer,Housing and Bridging Loans,66931.9
2007-04,Consumer,Professional and Private Individuals - Car Loans,12512.8
2007-04,Consumer,Professional and Private Individuals - Credit Cards,4042.3
2007-04,Consumer,Professional and Private Individuals - Share Financing,1190.4
2007-04,Consumer,Professional and Private Individuals - Others,29868.6
2007-05,Business,"Agriculture, Mining and Quarrying",4129.2
2007-05,Business,Manufacturing,47502.4
2007-05,Business,Building and Construction,38587.3
2007-05,Business,General Commerce,37733.5
2007-05,Business,"Transport, Storage and Communication",39332.9
2007-05,Business,Business Services,7456.8
2007-05,Business,Financial Institutions,98127.8
2007-05,Business,Professional and Private Individuals - Business Purposes,3112.9
2007-05,Business,Others,26924.4
2007-05,Consumer,Housing and Bridging Loans,67550.2
2007-05,Consumer,Professional and Private Individuals - Car Loans,12511.4
2007-05,Consumer,Professional and Private Individuals - Credit Cards,4093.3
2007-05,Consumer,Professional and Private Individuals - Share Financing,1158.7
2007-05,Consumer,Professional and Private Individuals - Others,29803.3
2007-06,Business,"Agriculture, Mining and Quarrying",3584.9
2007-06,Business,Manufacturing,45884.6
2007-06,Business,Building and Construction,39372.2
2007-06,Business,General Commerce,38428.8
2007-06,Business,"Transport, Storage and Communication",40893.7
2007-06,Business,Business Services,7641.5
2007-06,Business,Financial Institutions,104474.5
2007-06,Business,Professional and Private Individuals - Business Purposes,3147.9
2007-06,Business,Others,28589.2
2007-06,Consumer,Housing and Bridging Loans,68468
